datetime,username,tweet;;;;;;;;
"2022-04-18 23:48:54+00:00,KabarBanten72,""UU TPKS Disahkan, Berikut 6 Poin Penting dari Permendikbudristek https://t.co/rtxsuhD4ox""";;;;;;;;
"2022-04-18 22:32:56+00:00,Akunkuopiniku,""@rizkiwulandani @byeoreum @tegarfr__ @dikignwn @Wirogendheng88 @tubirfess UU TPKS dan kenaikan usia menikah aja udah ngebuktiin ini salah, child marriage itu dihalalkan di islam. Sedangkan batas usia pernikahan itu 19 disini""";;;;;;;;
"2022-04-18 21:41:24+00:00,Mat16_16,""Kerja lamban.";;;;;;;;
;;;;;;;;
Bikin UU utk melindungi perempuan dr kejahatan sexual kok butuh waktu 10 thn.;;;;;;;;
Itupun stlh didemo berkali2.;;;;;;;;
;;;;;;;;
BEM SI;;;;;;;;
BEM UI;;;;;;;;
#perempuanbisa;;;;;;;;
DPR RI;;;;;;;;
Joko Widodo;;;;;;;;
PDIP;;;;;;;;
Polri;;;;;;;;
UU TPKS;;;;;;;;
detikNews;;;;;;;;
Komnas Perempuan;;;;;;;;
Partai Demokrat;;;;;;;;
Susi Pudjiastuti;;;;;;;;
Yenny Wahid;;;;;;;;
"Mata Najwa https://t.co/WKBPEwDRce""";;;;;;;;
2022-04-18 21:16:38+00:00,svckryn,@Laborin007 @literallybacot Bodooooook isi suara nih nyanyi heeh haaaau. Ingat UU TPKS ndo 😏;;;;;;;;
2022-04-18 21:11:02+00:00,jpnncom,Profesor Agus Surono menilai peran Ketua DPR Puan Maharani sangat krusial dalam mendorong percepatan pengesahan UU TPKS yang sudah dinantikan pegiat perempuan. #UUTPKS https://t.co/OFSEL7CAze;;;;;;;;
2022-04-18 20:30:46+00:00,nolantv_update,Anis Hidayah dan juga Jalan Panjang UU TPKS https://t.co/RsjhQpcST8 #Terbaru #Anis #dan #hidayah #jalan;;;;;;;;
"2022-04-18 20:11:07+00:00,ElemendePalopo,""Setelah menempuh perjalanan panjang, akhirnya RUU TPKS disahkan menjadi UU. Apa";;;;;;;;
saja poin-poin penting dari UU TPKS ini? mari simak dan pahami;;;;;;;;
;;;;;;;;
#StopKekerasanSeksual;;;;;;;;
"#UUTPKS @ Palopo https://t.co/dOnmjabHND""";;;;;;;;
"2022-04-18 19:18:58+00:00,panjinasional_,""UU TPKS Sah, Masih Adakah yang kurang? https://t.co/PX6HNC3VPW""";;;;;;;;
"2022-04-18 18:23:31+00:00,masmaspajrin,""UU TPKS sebenarnya sudah menjadi dorongan agar kampus segera menerapkan permendikbudristek no 30/2021. Jika kampus awalnya menganggap permendikbudristek no 30/2021 tidak memiliki payung hukum yang kuat, maka UU TPKS adalah jawabannya.""";;;;;;;;
"2022-04-18 17:41:55+00:00,Hendrikorachman,""Pemaksaan perjodohan pernikahan, pacaran, apa sdh masuk dlm UU TPKS dan UU KUHP 261 .Kalau ngak serius tdk usah pacaran";;;;;;;;
"Cc @anyaselalubenar @ListyoSigitP @xcintakiehlx @selphieusagi @UniEbby @LunaMaya26 @aurakasih87 @maman1965 @TsamaraDKI @puanmaharani_ri @fahiraidris @na_dirs""";;;;;;;;
