datetime,username,tweet,tweet_cleaned,tweet_tokens,normalization
2022-04-12 03:41:51+00:00,aktualofficial,Puan Maharani Akan Pimpin Rapat Paripurna RUU TPKS Menjadi UU https://t.co/gLz7HM4iNC,puan maharani akan pimpin rapat paripurna ruu tpks menjadi uu ,"['puan', 'maharani', 'akan', 'pimpin', 'rapat', 'paripurna', 'ruu', 'tpks', 'menjadi', 'uu']","['puan', 'maharani', 'akan', 'pimpin', 'rapat', 'paripurna', 'ruu', 'tpks', 'menjadi', 'uu']"
2022-04-12 04:23:42+00:00,bijibiru,@andianisharfina @maidina__ Udah bisa pake nama #UUTPKS udah sah,  udah bisa pake nama  udah sah,"['udah', 'bisa', 'pake', 'nama', 'udah', 'sah']","['sudah', 'bisa', 'pakai', 'nama-nama', 'sudah', 'sah']"
2022-04-12 04:27:54+00:00,rakhmad_hp,"Kabar gembira untuk para penyintas. RUU TPKS sudah jadi UU TPKS. Setelah 10 tahun sejak digagas.

https://t.co/CMDelivPHp",kabar gembira untuk para penyintas  ruu tpks sudah jadi uu tpks  setelah    tahun sejak digagas   ,"['kabar', 'gembira', 'untuk', 'para', 'penyintas', 'ruu', 'tpks', 'sudah', 'jadi', 'uu', 'tpks', 'setelah', 'tahun', 'sejak', 'digagas']","['kabar', 'gembira', 'untuk', 'para', 'penyintas', 'ruu', 'tpks', 'sudah', 'jadi', 'uu', 'tpks', 'setelah', 'tahun-tahun', 'sejak', 'digagas']"
2022-04-12 04:33:26+00:00,Rumadi04,Kita perlu menyambut baik pengesahan UU TPKS. Dengan UU ini mengubah banyak hal terkait perlindungan korban kekerasan seksual. #RUUTPKS,kita perlu menyambut baik pengesahan uu tpks  dengan uu ini mengubah banyak hal terkait perlindungan korban kekerasan seksual  ,"['kita', 'perlu', 'menyambut', 'baik', 'pengesahan', 'uu', 'tpks', 'dengan', 'uu', 'ini', 'mengubah', 'banyak', 'hal', 'terkait', 'perlindungan', 'korban', 'kekerasan', 'seksual']","['kita', 'perlu', 'menyambut', 'baik', 'pengesahan', 'uu', 'tpks', 'dengan', 'uu', 'ini', 'mengubah', 'banyak', 'hal', 'terkait', 'perlindungan', 'korban', 'kekerasan', 'seksual']"
2022-04-12 04:33:51+00:00,zsupermanz,"Akhirnya, setelah sekian lama RUU Tindakan Pidana Kekerasan Seksual (TPKS) hari ini disahkan jadi UU!",akhirnya  setelah sekian lama ruu tindakan pidana kekerasan seksual  tpks  hari ini disahkan jadi uu ,"['akhirnya', 'setelah', 'sekian', 'lama', 'ruu', 'tindakan', 'pidana', 'kekerasan', 'seksual', 'tpks', 'hari', 'ini', 'disahkan', 'jadi', 'uu']","['akhirnya', 'setelah', 'sekian', 'lama', 'ruu', 'tindakan', 'pidana', 'kekerasan', 'seksual', 'tpks', 'hari', 'ini', 'disahkan', 'jadi', 'uu']"
2022-04-12 04:33:58+00:00,jakartafeminist,"Selanjutnya, kita harus kawal terus implementasi UU TPKS. Biar hak korban dan penyintas benar-benar dipenuhi dan tanggung jawab pemerintah dilaksanakan.
#sahkanRUUTPKS",selanjutnya  kita harus kawal terus implementasi uu tpks  biar hak korban dan penyintas benar benar dipenuhi dan tanggung jawab pemerintah dilaksanakan  ,"['selanjutnya', 'kita', 'harus', 'kawal', 'terus', 'implementasi', 'uu', 'tpks', 'biar', 'hak', 'korban', 'dan', 'penyintas', 'benar', 'benar', 'dipenuhi', 'dan', 'tanggung', 'jawab', 'pemerintah', 'dilaksanakan']","['selanjutnya', 'kita', 'harus', 'kawal', 'terus', 'implementasi', 'uu', 'tpks', 'biar', 'hak', 'korban', 'dan', 'penyintas', 'benar-benar', 'benar-benar', 'dipenuhi', 'dan', 'tanggung', 'jawab', 'pemerintah', 'dilaksanakan']"
2022-04-12 04:34:10+00:00,mardiasih,SAAAAAAAAH. UU TPKS SAAAAAAH!!!!,saah  uu tpks saah  ,"['saah', 'uu', 'tpks', 'saah']","['saah', 'uu', 'tpks', 'saah']"
2022-04-12 04:34:38+00:00,pramajakti,UU TPKS KETOK PALU! SAH!,uu tpks ketok palu  sah ,"['uu', 'tpks', 'ketok', 'palu', 'sah']","['uu', 'tpks', 'ketok', 'palu', 'sah']"
2022-04-12 04:35:50+00:00,grrrrrrrlz,Wah UU TPKS udah sahhhh?,wah uu tpks udah sahh ,"['wah', 'uu', 'tpks', 'udah', 'sahh']","['wah', 'uu', 'tpks', 'sudah', 'sahh']"
2022-04-12 04:36:15+00:00,gitaputrid,"RUU TPKS sah menjadi UU TPKS. Kerja panjang kelompok masyarakat sipil terbayar sudah. 

Selamat untuk teman-teman jaringan perempuan yang gigih mengawal dan responsifnya Pemerintah-DPR perlu dihargai saat detik-detik terakhir.

💪🏼✨💪🏼✨🥳🥳",ruu tpks sah menjadi uu tpks  kerja panjang kelompok masyarakat sipil terbayar sudah    selamat untuk teman teman jaringan perempuan yang gigih mengawal dan responsifnya pemerintah dpr perlu dihargai saat detik detik terakhir           ,"['ruu', 'tpks', 'sah', 'menjadi', 'uu', 'tpks', 'kerja', 'panjang', 'kelompok', 'masyarakat', 'sipil', 'terbayar', 'sudah', 'selamat', 'untuk', 'teman', 'teman', 'jaringan', 'perempuan', 'yang', 'gigih', 'mengawal', 'dan', 'responsifnya', 'pemerintah', 'dpr', 'perlu', 'dihargai', 'saat', 'detik', 'detik', 'terakhir']","['ruu', 'tpks', 'sah', 'menjadi', 'uu', 'tpks', 'kerja', 'panjang', 'kelompok', 'masyarakat', 'sipil', 'terbayar', 'sudah', 'selamat', 'untuk', 'teman', 'teman', 'jaringan', 'perempuan', 'yang', 'gigih', 'mengawal', 'dan', 'responsifnya', 'pemerintah', 'dpr', 'perlu', 'dihargai', 'saat', 'detik', 'detik', 'terakhir']"
2022-04-12 04:36:29+00:00,ImamMut13887578,@mardiasih @anindyavivi UU TPKS Sah ya,  uu tpks sah ya,"['uu', 'tpks', 'sah', 'ya']","['uu', 'tpks', 'sah', 'iya']"
2022-04-12 04:37:20+00:00,OnlyFrens,Kabar gembira min @Official_PAN RUU TPKS sah menjadi UU.,kabar gembira min  ruu tpks sah menjadi uu ,"['kabar', 'gembira', 'min', 'ruu', 'tpks', 'sah', 'menjadi', 'uu']","['kabar', 'gembira', 'min', 'ruu', 'tpks', 'sah', 'menjadi', 'uu']"
2022-04-12 04:37:47+00:00,zumakore,UU TPKS SAHHHHHHH,uu tpks sahh,"['uu', 'tpks', 'sahh']","['uu', 'tpks', 'sahh']"
2022-04-12 04:37:47+00:00,a__my_,Alhamdulillah 😭😭 akhiranya UU TPKS sahhhh,alhamdulillah    akhiranya uu tpks sahh,"['alhamdulillah', 'akhiranya', 'uu', 'tpks', 'sahh']","['alhamdulillah', 'akhiranya', 'uu', 'tpks', 'sahh']"
2022-04-12 04:37:54+00:00,sefishafiyah,"RUU TPKS akan disahkan siang ini!! We might getting UU TPKS today, we'll see👀",ruu tpks akan disahkan siang ini   we might getting uu tpks today  we ll see ,"['ruu', 'tpks', 'akan', 'disahkan', 'siang', 'ini', 'we', 'might', 'getting', 'uu', 'tpks', 'today', 'we', 'll', 'see']","['ruu', 'tpks', 'akan', 'disahkan', 'siang', 'ini', 'we', 'might', 'getting', 'uu', 'tpks', 'today', 'we', 'll', 'sih']"
2022-04-12 04:37:58+00:00,Sam_Ardi,Alhamdulillah kita punya UU TPKS,alhamdulillah kita punya uu tpks,"['alhamdulillah', 'kita', 'punya', 'uu', 'tpks']","['alhamdulillah', 'kita', 'punya', 'uu', 'tpks']"
2022-04-12 04:38:04+00:00,andianisharfina,Allahuakbar Allahuakbar Alhamdulillah sah UU TPKS✊🥺🤲,allahuakbar allahuakbar alhamdulillah sah uu tpks   ,"['allahuakbar', 'allahuakbar', 'alhamdulillah', 'sah', 'uu', 'tpks']","['allahuakbar', 'allahuakbar', 'alhamdulillah', 'sah', 'uu', 'tpks']"
2022-04-12 04:38:20+00:00,adrblekookie,wkwk uu tpks disahin dpr yaa hari ini,wkwk uu tpks disahin dpr yaa hari ini,"['wkwk', 'uu', 'tpks', 'disahin', 'dpr', 'yaa', 'hari', 'ini']","['tertawa', 'uu', 'tpks', 'disahin', 'dpr', 'ya', 'hari', 'ini']"
2022-04-12 04:38:48+00:00,namjinius,UU TPKS SAAAHHHHHH 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,uu tpks saahh   ,"['uu', 'tpks', 'saahh']","['uu', 'tpks', 'saahh']"
2022-04-12 04:39:33+00:00,sitsnoe,UU TPKS SAH PER HARI INI🧡💛💚💙💜🤎❤️,uu tpks sah per hari ini        ,"['uu', 'tpks', 'sah', 'per', 'hari', 'ini']","['uu', 'tpks', 'sah', 'per', 'hari', 'ini']"
