datetime,username,tweet,tweet_cleaned
2022-11-26 12:25:07+00:00,BayuAji2022,"@wildang34637642 @Dhyndha_ Bkn Pro, tetapi sebagai Pemimpin Nasionalis dia Netral. Jgn sampai mereka dipidana, jangan didiskriminasi. Makannya misalnya dia Mengsahkan SE Kapolri yang didalamnya melindungi kelompok LGBT. UU TPKS &amp; Permendikbud ristek 2021 disahkan pemerintah utk melindungi hak privat mrk.",  bkn pro  tetapi sebagai pemimpin nasionalis dia netral  jgn sampai mereka dipidana  jangan didiskriminasi  makannya misalnya dia mengsahkan se kapolri yang didalamnya melindungi kelompok lgbt  uu tpks  amp  permendikbud ristek      disahkan pemerintah utk melindungi hak privat mrk 
2022-11-26 12:24:45+00:00,_infoindonesia,"Lewat UU TPKS, Korban Kekerasan Seksual Harus Berani Lapor
@Kemenkumham_RI @kpp_pa @KomnasPerempuan 

https://t.co/4Nn733yqmr",lewat uu tpks  korban kekerasan seksual harus berani lapor     
2022-11-26 09:50:58+00:00,KemnakerRI,"Kupi telah berhasil menujukkan peran setrategisnya selama mengadvokasi UU TPKS. Ia berharap, Kupi terus berperan mengadvokasi RUU Pelindungan Pekerja Rumah Tangga (RUU PPRT)",kupi telah berhasil menujukkan peran setrategisnya selama mengadvokasi uu tpks  ia berharap  kupi terus berperan mengadvokasi ruu pelindungan pekerja rumah tangga  ruu pprt 
2022-11-26 08:48:59+00:00,indonesia_kupi,Paralel yang paling banyak pesertanya (80 orang) dan bertahan dalam ruangan kelas yang cukup sempit. Paralel ini membahas mengenai Kepemimpinan Ulama Perempuan dalam Memperkuat Implementasi UU TPKS. https://t.co/iqLHBFWnHe,paralel yang paling banyak pesertanya     orang  dan bertahan dalam ruangan kelas yang cukup sempit  paralel ini membahas mengenai kepemimpinan ulama perempuan dalam memperkuat implementasi uu tpks  
2022-11-26 06:16:02+00:00,Cerita_Parapuan,"Kampanye 16 HAKTP, Komnas Perempuan Dorong Implementasi UU TPKS Secara Maksimal https://t.co/SaAK9MYoys",kampanye    haktp  komnas perempuan dorong implementasi uu tpks secara maksimal 
2022-11-26 02:50:14+00:00,Izha19314859,"Istilah “sexual consent” mungkin awalnya kita dengar terkait isu revisi RUU TPKS yang sudah disahkan menjadi UU TPKS pada 12-04-2022. 
Live Muslimah Bicara

#KapitalismePerusakGenerasi
#IslamSelamatkanGenerasi
#PemudaMuliadenganIslam",istilah  sexual consent  mungkin awalnya kita dengar terkait isu revisi ruu tpks yang sudah disahkan menjadi uu tpks pada              live muslimah bicara    
2022-11-25 16:17:01+00:00,JIP_indonesia,"Kampanye 16 Hari Anti Kekerasan terhadap Perempuan (16 Days of Activism Against Gender Violence) 2022 ""Ciptakan Ruang Aman, Kenali UU TPKS"". 
#jaringanindonesiapositif
#focalpointjip
#16HAKTP
#kenaliuutpks 
#satusuarauutpks 
#kawalsetelahlegal https://t.co/ums03kAXsV",kampanye    hari anti kekerasan terhadap perempuan     days of activism against gender violence        ciptakan ruang aman  kenali uu tpks            
2022-11-25 13:35:20+00:00,muslimahnewscom,"Keberadaan UU TPKS maupun Permendikbudristek 30/2021 adalah untuk melanggengkan liberalisasi seksual. Mirisnya, fenomena ini melanda insan terpelajar. Angkanya yang menunjukkan peningkatan kasus HIV/AIDS bisa jadi hanyalah fenomena gunung es. 

#Opini

https://t.co/5FiTM6HQUB",keberadaan uu tpks maupun permendikbudristek         adalah untuk melanggengkan liberalisasi seksual  mirisnya  fenomena ini melanda insan terpelajar  angkanya yang menunjukkan peningkatan kasus hiv aids bisa jadi hanyalah fenomena gunung es      
2022-11-25 12:11:22+00:00,rockienockie,"Ciptakan Ruang Aman, Kenali UU TPKS
--------
#kenaliUUTPKS 
#satusuaraUUTPKS 
#kawalsetelahlegal @ Aceh https://t.co/7fijLCi4VT",ciptakan ruang aman  kenali uu tpks           aceh 
2022-11-25 11:39:02+00:00,KomsosKWI,"Komisi Kepemudaan KWI dan Kampanye 16 HAKTP 2022 “Ciptakan Ruang Aman, Kenali UU TPKS” https://t.co/OKP1WsVEMO",komisi kepemudaan kwi dan kampanye    haktp       ciptakan ruang aman  kenali uu tpks  
